event_id,event_ts,event_date,event_hour,app_id,team_id,service_name,environment,region,endpoint,event_type,severity,status_code,response_time_ms,bytes_in,bytes_out,request_id,trace_id,session_id,user_type,channel,dependency,deployment_id,build_version,host,pod_name,retry_count,error_code,is_sla_breach,message
1ad188bf-ae75-497a-88b0-165feaac6e9d,2026-02-23T16:54:57,2026-02-23,16,identity-portal,team_identity,token,prod,eu-central-1,/token,dependency_call,ERROR,500,4067,6314,43409,req-20260223-00000000,trace-325359,sess-086665,employee,batch,hdfs,dep-identity-portal-003,v3.3.2,host-056,pod-identity-portal-04,1,,true,ERROR on identity-portal /token
6d716682-9850-4ee5-abb7-836befa2acfd,2026-02-23T20:26:47,2026-02-23,20,billing-worker,team_payments,refund,prod,eu-west-1,/refund,dependency_call,INFO,200,507,8762,24974,req-20260223-00000001,trace-829958,sess-065778,employee,batch,redis,dep-billing-worker-004,v4.1.1,host-011,pod-billing-worker-09,1,,true,INFO on billing-worker /refund
a07ec7c8-a593-45f1-80e1-92769d29abcd,2026-02-23T17:30:57,2026-02-23,17,notification-api,team_mobile,email,prod,eu-west-3,/notifications/email,http_request,ERROR,503,5609,10584,48527,req-20260223-00000002,trace-462810,sess-027268,customer,web,partner_api,dep-notification-api-002,v2.0.1,host-074,pod-notification-api-07,3,VALIDATION_ERROR,true,ERROR on notification-api /notifications/email
9db787a4-8bb6-4601-9e81-2dcf2e4dbe50,2026-02-23T17:21:42,2026-02-23,17,payment-api,team_payments,checkout,preprod,eu-west-3,/checkout,http_request,INFO,200,309,242,2573,req-20260223-00000003,trace-180415,sess-093672,employee,mobile,redis,dep-payment-api-001,v1.0.1,host-074,pod-payment-api-11,1,,true,INFO on payment-api /checkout
46eaaefd-e803-4192-94ee-8ca4fed2b012,2026-02-23T20:16:36,2026-02-23,20,mobile-backend,team_mobile,push,prod,eu-west-1,/notifications/push,dependency_call,INFO,201,258,8859,5886,req-20260223-00000004,trace-297894,sess-039696,employee,web,partner_api,dep-mobile-backend-002,v2.6.9,host-050,pod-mobile-backend-12,3,,false,INFO on mobile-backend /notifications/push
96fae144-a88f-4b8e-a501-4893e7a547d4,2026-02-23T05:18:56,2026-02-23,05,crm-sync,team_support,sync,prod,eu-west-1,/sync,business_event,INFO,204,874,10913,46795,req-20260223-00000005,trace-947512,sess-036397,employee,mobile,postgres,dep-crm-sync-004,v4.2.7,host-053,pod-crm-sync-08,2,,false,INFO on crm-sync /sync
724d4dc8-d68a-404a-8776-1fc7dfe2c46a,2026-02-23T17:04:24,2026-02-23,17,metrics-api,team_data,metrics,prod,eu-central-1,/metrics,business_event,INFO,201,529,15245,46694,req-20260223-00000006,trace-456875,sess-172242,customer,web,redis,dep-metrics-api-002,v2.4.9,host-023,pod-metrics-api-11,1,,false,INFO on metrics-api /metrics
2d6cd564-aefb-4e6f-a380-8a80bc6189bd,2026-02-23T06:28:26,2026-02-23,06,notification-api,team_mobile,email,prod,eu-west-3,/notifications/email,business_event,INFO,200,1417,6120,24499,req-20260223-00000007,trace-577519,sess-076642,service_account,api,kafka,dep-notification-api-001,v1.0.3,host-031,pod-notification-api-11,3,,true,INFO on notification-api /notifications/email
0e95ba78-4663-4cc5-b37d-1c580ade7f4c,2026-02-23T10:48:51,2026-02-23,10,notification-api,team_mobile,email,preprod,eu-west-3,/notifications/email,job_step,INFO,200,664,5298,37169,req-20260223-00000008,trace-671339,sess-159047,customer,mobile,redis,dep-notification-api-003,v3.0.1,host-028,pod-notification-api-10,3,,false,INFO on notification-api /notifications/email
8d72ea55-f406-4d86-8b73-75a6253e2bec,2026-02-23T16:26:38,2026-02-23,16,risk-engine,team_risk,score,preprod,eu-west-1,/risk/score,dependency_call,INFO,200,152,4186,26912,req-20260223-00000009,trace-505275,sess-094018,anonymous,batch,postgres,dep-risk-engine-004,v4.4.1,host-047,pod-risk-engine-09,2,,false,INFO on risk-engine /risk/score
