event_id,event_ts,event_date,event_hour,app_id,team_id,service_name,environment,region,endpoint,event_type,severity,status_code,response_time_ms,bytes_in,bytes_out,request_id,trace_id,session_id,user_type,channel,dependency,deployment_id,build_version,host,pod_name,retry_count,error_code,is_sla_breach,message
545df3a9-859b-4c1e-a548-639f1e88e0fb,2025-12-22T01:01:34,2025-12-22,01,mobile-backend,team_mobile,push,prod,eu-central-1,/notifications/push,job_step,INFO,200,429,3435,45567,req-20251222-00000000,trace-617891,sess-172277,anonymous,api,kafka,dep-mobile-backend-003,v3.6.9,host-048,pod-mobile-backend-05,3,,false,INFO on mobile-backend /notifications/push
48c8b428-29ba-4a01-ab8a-1ec144f99961,2025-12-22T00:12:55,2025-12-22,00,payment-api,team_payments,checkout,preprod,eu-west-1,/checkout,business_event,INFO,204,94,18753,16093,req-20251222-00000001,trace-344663,sess-027222,employee,web,kafka,dep-payment-api-001,v1.0.1,host-019,pod-payment-api-09,0,,false,INFO on payment-api /checkout
406cab81-7b0c-49f3-9a1e-fef0325cf46b,2025-12-22T02:49:49,2025-12-22,02,risk-engine,team_risk,score,prod,eu-west-3,/risk/score,business_event,INFO,204,275,6404,46857,req-20251222-00000002,trace-623882,sess-035911,service_account,web,hdfs,dep-risk-engine-001,v1.4.2,host-074,pod-risk-engine-02,3,,true,INFO on risk-engine /risk/score
eeaad420-a2da-4ba9-83d4-905fcdfc3f2c,2025-12-22T13:51:18,2025-12-22,13,notification-api,team_mobile,email,preprod,eu-west-3,/notifications/email,dependency_call,INFO,200,1313,4552,14364,req-20251222-00000003,trace-212248,sess-030502,service_account,batch,none,dep-notification-api-001,v1.0.3,host-010,pod-notification-api-09,1,,true,INFO on notification-api /notifications/email
595c3d31-747f-4512-ab3d-436dbe451bdb,2025-12-22T18:30:17,2025-12-22,18,metrics-api,team_data,metrics,prod,eu-central-1,/metrics,job_step,INFO,200,729,5501,46586,req-20251222-00000004,trace-444435,sess-152496,customer,mobile,partner_api,dep-metrics-api-002,v2.4.9,host-073,pod-metrics-api-09,1,,false,INFO on metrics-api /metrics
d57c19f5-9a7c-4758-b8fb-9de4b0a7bea3,2025-12-22T02:58:28,2025-12-22,02,crm-sync,team_support,sync,prod,eu-west-1,/sync,http_request,INFO,200,1476,2162,346,req-20251222-00000005,trace-636195,sess-007467,customer,batch,partner_api,dep-crm-sync-001,v1.2.1,host-007,pod-crm-sync-09,1,,false,INFO on crm-sync /sync
bae99761-87db-450e-981b-d4baf90bf028,2025-12-22T01:24:52,2025-12-22,01,notification-api,team_mobile,email,prod,eu-west-3,/notifications/email,business_event,INFO,200,679,1069,17409,req-20251222-00000006,trace-190897,sess-053485,employee,web,redis,dep-notification-api-003,v3.0.1,host-049,pod-notification-api-08,0,,false,INFO on notification-api /notifications/email
6bc9c67e-5808-49c3-a858-3e1e68b1c6d2,2025-12-22T07:55:41,2025-12-22,07,payment-api,team_payments,checkout,prod,eu-central-1,/checkout,business_event,INFO,200,268,19821,18704,req-20251222-00000007,trace-167293,sess-094902,anonymous,api,postgres,dep-payment-api-001,v1.0.1,host-029,pod-payment-api-10,0,,true,INFO on payment-api /checkout
b7d703ac-0a70-4d6a-9e04-72523c7d5814,2025-12-22T23:01:03,2025-12-22,23,billing-worker,team_payments,refund,prod,eu-west-3,/refund,job_step,INFO,200,773,1807,20885,req-20251222-00000008,trace-042756,sess-135048,employee,batch,redis,dep-billing-worker-004,v4.1.1,host-025,pod-billing-worker-02,1,,true,INFO on billing-worker /refund
4cafa39e-5d92-4e8c-b3d6-acea41987ca0,2025-12-22T08:57:05,2025-12-22,08,fraud-detector,team_risk,fraud-check,preprod,eu-west-3,/fraud/check,business_event,INFO,200,365,17843,32101,req-20251222-00000009,trace-717960,sess-175323,customer,api,none,dep-fraud-detector-004,v4.5.1,host-029,pod-fraud-detector-07,3,,false,INFO on fraud-detector /fraud/check
57c83e43-a61a-43b5-8d36-b55122d7599d,2025-12-22T08:22:38,2025-12-22,08,billing-worker,team_payments,refund,preprod,eu-west-3,/refund,job_step,INFO,200,577,2617,44177,req-20251222-00000010,trace-804096,sess-146156,customer,batch,partner_api,dep-billing-worker-004,v4.1.1,host-002,pod-billing-worker-12,2,,true,INFO on billing-worker /refund
3ab6101c-0b65-47d9-b298-cadfa554dae9,2025-12-22T07:11:24,2025-12-22,07,fraud-detector,team_risk,fraud-check,prod,eu-west-3,/fraud/check,http_request,ERROR,502,2474,16737,19671,req-20251222-00000011,trace-230083,sess-073229,employee,batch,kafka,dep-fraud-detector-003,v3.5.7,host-030,pod-fraud-detector-03,2,,true,ERROR on fraud-detector /fraud/check
